441,DeShawn Stevenson,202,/players/s/stevede01.html,31,56,31,20.7,1.8,4.7,.374,1.4,3.7,.364,0.4,0.9,.415,.519,0.2,0.4,.522,0.3,1.9,2.2,0.9,0.5,0.1,0.4,1.2,5.1
442,Jannero Pargo,202,/players/p/pargoja01.html,33,7,0,16.1,1.9,5.4,.342,1.0,2.9,.350,0.9,2.6,.333,.434,0.3,0.3,1.000,0.1,0.9,1.0,2.7,0.4,0.0,0.7,1.1,5.0
443,Anthony Tolliver,202,/players/t/tollian01.html,27,62,11,15.5,1.3,3.5,.380,0.7,2.1,.338,0.6,1.3,.446,.484,0.7,0.8,.863,0.5,2.0,2.5,0.5,0.2,0.2,0.6,1.1,4.1
444,Ivan Johnson,202,/players/j/johnsiv01.html,28,69,5,15.0,2.7,5.2,.520,0.0,0.2,.077,2.7,5.0,.536,.521,1.2,1.9,.618,1.1,2.8,3.9,0.7,0.8,0.2,1.0,1.9,6.6
445,John Jenkins,202,/players/j/jenkijo01.html,21,61,2,14.8,2.1,4.8,.446,0.9,2.3,.384,1.3,2.6,.500,.536,1.0,1.1,.843,0.3,1.3,1.5,0.9,0.2,0.2,0.7,0.6,6.1
446,Dahntay Jones,202,/players/j/jonesda02.html,32,28,4,13.6,1.1,2.9,.390,0.1,0.4,.250,1.0,2.5,.414,.409,0.8,1.1,.677,0.4,0.7,1.1,0.7,0.4,0.0,0.6,1.6,3.1
447,Shelvin Mack,202,/players/m/macksh01.html,22,20,1,13.4,2.1,4.2,.488,0.7,1.8,.400,1.4,2.5,.551,.571,0.4,0.7,.571,0.0,1.2,1.2,2.2,0.5,0.0,1.2,1.4,5.2
448,Anthony Morrow,202,/players/m/morroan01.html,27,24,1,12.5,2.0,4.6,.423,0.6,1.6,.395,1.3,3.0,.438,.491,0.7,0.8,.889,0.4,0.7,1.1,0.4,0.5,0.0,0.2,1.4,5.2
449,Johan Petro,202,/players/p/petrojo01.html,27,31,8,11.4,1.5,3.5,.436,0.0,0.1,.250,1.5,3.4,.443,.441,0.4,0.4,.917,1.1,2.5,3.6,0.5,0.3,0.3,0.8,1.5,3.5
450,Mike Scott,202,/players/s/scottmi01.html,24,40,1,9.4,1.8,3.7,.476,0.0,0.0,.000,1.8,3.7,.479,.476,1.1,1.4,.768,1.0,1.8,2.8,0.3,0.1,0.1,0.5,0.8,4.6
451,Jeremy Tyler,202,/players/t/tylerje01.html,21,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
452,Joe Johnson,203,/players/j/johnsjo02.html,30,60,60,35.5,7.1,15.5,.454,2.1,5.4,.388,5.0,10.2,.489,.521,2.6,3.1,.849,0.9,2.8,3.7,3.9,0.8,0.2,1.9,1.3,18.8
453,Josh Smith,203,/players/s/smithjo03.html,26,66,66,35.3,7.6,16.7,.458,0.4,1.7,.257,7.2,15.0,.480,.470,3.1,4.9,.630,2.1,7.5,9.6,3.9,1.4,1.7,2.5,2.6,18.8
454,Jeff Teague,203,/players/t/teaguje01.html,23,66,66,33.1,4.8,10.2,.476,0.8,2.3,.342,4.1,7.9,.514,.514,2.1,2.8,.757,0.3,2.1,2.4,4.9,1.6,0.6,2.0,2.2,12.6
455,Al Horford,203,/players/h/horfoal01.html,25,11,11,31.6,5.2,9.4,.553,0.0,0.1,.000,5.2,9.3,.559,.553,2.0,2.7,.733,2.4,4.6,7.0,2.2,0.9,1.3,1.5,1.9,12.4
456,Zaza Pachulia,203,/players/p/pachuza01.html,27,58,44,28.3,2.9,5.8,.499,0.0,0.0,,2.9,5.8,.499,.499,2.0,2.7,.741,2.7,5.2,7.9,1.4,0.9,0.5,1.4,3.0,7.8
457,Marvin Williams,203,/players/w/willima02.html,25,57,37,26.3,3.6,8.2,.432,1.0,2.6,.389,2.5,5.6,.452,.494,2.0,2.6,.788,1.3,3.8,5.2,1.2,0.8,0.3,0.7,1.5,10.2
458,Kirk Hinrich,203,/players/h/hinriki01.html,31,48,31,25.8,2.5,6.1,.414,1.0,2.8,.346,1.6,3.3,.472,.493,0.5,0.7,.781,0.2,1.9,2.1,2.8,0.8,0.2,1.2,2.1,6.6
459,Willie Green,203,/players/g/greenwi01.html,30,53,2,17.4,2.9,6.1,.471,0.9,2.1,.442,1.9,4.0,.486,.548,0.9,1.1,.857,0.3,1.2,1.5,0.8,0.4,0.1,0.6,1.4,7.6
460,Ivan Johnson,203,/players/j/johnsiv01.html,27,56,0,16.7,2.5,4.9,.513,0.0,0.1,.333,2.5,4.8,.517,.516,1.3,1.8,.720,1.2,2.9,4.0,0.6,0.8,0.3,1.2,2.1,6.4
461,Tracy McGrady,203,/players/m/mcgratr01.html,32,52,0,16.1,1.9,4.4,.437,0.3,0.6,.455,1.7,3.8,.434,.470,1.1,1.6,.675,0.4,2.5,3.0,2.1,0.3,0.3,1.0,0.7,5.3
462,Vladimir Radmanovic,203,/players/r/radmavl01.html,31,49,3,15.4,1.5,4.0,.376,1.0,2.8,.370,0.5,1.3,.387,.503,0.4,0.6,.759,0.7,2.2,2.9,1.1,0.4,0.3,0.7,1.3,4.5
463,Jannero Pargo,203,/players/p/pargoja01.html,32,50,0,13.4,2.1,5.1,.415,1.1,2.8,.384,1.0,2.3,.452,.520,0.4,0.4,.950,0.2,1.3,1.5,1.9,0.4,0.0,1.0,1.3,5.6
464,Jason Collins,203,/players/c/collija04.html,33,30,10,10.3,0.5,1.3,.400,0.0,0.0,,0.5,1.3,.400,.400,0.2,0.5,.467,0.4,1.2,1.6,0.3,0.1,0.1,0.3,1.1,1.3
465,Jerry Stackhouse,203,/players/s/stackje01.html,37,30,0,9.1,1.2,3.3,.370,0.4,1.3,.342,0.8,2.1,.387,.435,0.7,0.8,.913,0.2,0.6,0.8,0.5,0.3,0.1,0.4,0.4,3.6
466,Erick Dampier,203,/players/d/dampier01.html,36,15,0,5.5,0.1,0.5,.125,0.0,0.0,,0.1,0.5,.125,.125,0.0,0.0,,0.7,1.0,1.7,0.3,0.1,0.3,0.2,0.6,0.1
467,Donald Sloan,203,/players/s/sloando01.html,24,5,0,4.0,0.6,1.6,.375,0.0,0.2,.000,0.6,1.4,.429,.375,0.0,0.0,,0.2,0.8,1.0,1.0,0.2,0.0,0.4,0.6,1.2
468,Joe Johnson,204,/players/j/johnsjo02.html,29,72,72,35.5,7.1,16.1,.443,1.2,4.2,.297,5.9,12.0,.494,.481,2.7,3.4,.802,0.8,3.2,4.0,4.7,0.7,0.1,2.0,1.8,18.2
